artist,score,weighted_score
"Tim Kasher (Cursive, The Good Life)",1,1
The Gloomies,1,1
Admiral Fallow,5,5
Handgrenades,6,6
WL,5,5
Cold War Kids,3,3
Liza Anne,5,5
Death,2,2
Judah & the Lion,5,5
Polar Bear Club,4,4
HÆLOS,5,5
Cahalen Morrison & Eli West,2,2
Niki & the Dove,5,5
Young Buffalo,12,12
Dave Rawlings Machine,10,20
Kate Tempest,14,28
Memory Tapes,1,1
Joshua Bell & Jeremy Denk,1,1
Buscabulla,4,4
DakhaBrakha,10,20
Lautari,6,6
French Montana,1,1
Solo Woods,5,5
John Densmore,1,1
Janet Feder,1,1
The Bamboos,5,5
Brian Courtney Wilson,1,1
Nada Surf,25,50
Trevor Sensor,5,5
Fly Moon Royalty,13,13
Charlie Abbott,1,1
DJAO,5,5
Davíd Garza,1,1
Sam Roberts Band,5,5
Dub Thompson,5,5
Johnny Marr,2,4
Rodney Crowell,1,1
Nels Cline & Julian Lage,5,5
Springtime Carnivore,10,20
Holy Ghost Tent Revival,5,5
The One and Only PPL MVR,1,1
Special Explosion,5,5
Comedians of Comedy,1,1
Dry Heaves,4,4
Imperial Teen,8,8
Alvvays,5,5
Zeta,3,3
Ane Brun,1,1
Charles Hamelin & Olivier Jean,1,1
Mono Town,6,6
Cut Chemist,1,1
Brother Ali,6,12
King Gizzard and the Lizard Wizard,4,8
Yaeji,1,1
Budo,1,1
Wildbirds & Peacedrums,1,1
Shakey Graves,25,75
Michel Gondry,1,1
Sallie Ford,5,5
The Shivas,15,15
Minden,4,4
Sir Mix-A-Lot,1,1
DoNormaal,10,10
Le Butcherettes,1,1
Moon Honey,6,6
La Santa Cecilia,7,21
Cosmonauts,1,1
Portugal. The Man,12,24
Zola Jesus,13,39
White Buffalo,1,1
ScHoolboy Q,1,1
Grant Hart,5,5
Wedding Dress,5,5
Trentemøller,11,11
Akron/Family,1,1
Gypsyblood,1,1
Foster the People,1,1
The Daredevil Christopher Wright,8,8
Marius Ziska,8,8
Trans Am,1,1
Marty Stuart,1,1
The Simpsons-inspired Okilly Dokilly,1,1
Bess Rogers & Allison Weiss,6,6
Paul Kelly,12,24
Mr Twin Sister,2,2
Renaud Garcia-Fons,1,1
Still Parade,2,2
Surfer Blood,23,69
Anderson East,5,5
Scissor Sisters,1,1
Æla,10,10
American Wrestlers,10,20
Palma Violets,11,22
Cumulus,4,4
Thao & Mirah,4,4
Xeno & Oaklander,4,4
Hanson,4,8
Neil Finn,5,5
Lance Henriksen,1,1
Sky Parade,4,4
HAIM,2,4
The Dirty Nil,6,6
Cult Of Youth,5,5
Tuatara,5,5
Cornelius,1,1
Amadou and Mariam,1,1
２８１４,1,1
Psalm One,6,6
Sunjacket,6,6
Loving,1,1
Matthew Sweet,1,1
Questlove - 46 min Version,1,1
D.R.A.M.,1,1
Ex Hex,5,5
mr. Gnome,5,5
Diego Garcia,1,1
Shigeto,5,5
Fanfare Ciocarlia,1,1
Laura Gibson,6,12
Cosmos,6,6
Mr Silla,1,1
Wovoka Gentle,1,1
tUne-yArDs,1,1
Hamilton Leithauser,13,26
Mat Kerekes,5,5
Minor Characters,8,8
Jukebox the Ghost,6,6
Acrassicauda,5,5
"Bonnie ""Prince"" Billy",4,4
Big Ups,12,24
Midday Veil,9,9
Sisters,4,4
The Elected,4,4
Eli Roth,1,1
Christopher Owens,9,9
Billy Bragg & Joe Henry,6,12
Nai Palm,2,2
Brandi Shearer,1,1
Monsieur Periné,2,4
Sonny And The Sunsets,1,1
Wolf Alice,10,20
Rodriquez,1,1
Sweeping Exits,5,5
Fairchild,5,5
Vinyl Theatre,5,5
Seattle Rock Orchestra Quintet with Júníus Meyvant,1,1
Black Marble,2,2
Logic,3,6
Male Gaze,5,5
Miranda Cosgrove,1,1
Musikanto,7,7
DeVotchKa,6,6
Rakta,5,5
Fishbone,5,5
Watsky,2,2
Edward Sharpe And The Magnetic Zeroes,1,1
Chris Pureka,4,4
Hannibal Buress,1,1
Nick 13,2,2
Daymé Arocena,1,1
Counterparts,5,5
Billy Bragg & Wayne Kramer,1,1
Gaslamp Killer,1,1
Born Cages,4,4
Hozier,1,1
Prof,6,6
Fujiya & Miyagi,5,5
Samaris,15,15
Crowded House,1,1
Allo Darlin',9,9
Willy Mason,6,6
Mountain Man,1,1
Los Blenders,5,5
Sky Ferreira,1,1
Survival Knife,5,5
Ace Frehley (KISS),1,1
Jamie Lidell,5,5
Noura Mint Seymali,5,5
Linda Thompson,1,1
Avery*Sunshine,1,1
TOPAZ GANG,1,1
The Saxophones,1,1
Delicate Steve,1,1
Charlotte Gainsbourg,6,18
The Ironclads,4,4
DRAM,1,1
Rahim AlHaj,4,4
Ryan Hemsworth,1,1
Skates!,5,5
SOHN,5,5
Ben Stiller,1,1
Young Statues,7,7
The Maine,4,4
Mudhoney,20,40
Love Is All,1,1
Vibragun,5,5
Haley Bonar,9,27
Abandon Kansas,5,5
The Budos Band,6,12
Las Cafeteras,9,9
Ledisi,2,4
Lou Barlow,5,10
Don't Talk To The Cops!,2,2
Danny Tamberelli,1,1
Cass McCombs,1,1
Fresh Espresso,4,4
Dead Ship Sailing,6,6
Best Coast,14,42
Hermigervill,8,8
Day Wave & Hazel English,1,1
R.A. The Rugged Man,1,1
Modern Kin,5,5
Naked Giants,5,5
Gina Chavez,1,1
Omar Sosa & Paolo Fresu,1,1
Peter & Mia Frampton,1,1
Dasher,5,5
Unlikely Friends,5,5
Ghosts I've Met,5,5
Arthur Shea,1,1
Lost Lander,12,12
Admiral of Black,8,8
Gorgeous Bully,1,1
The Voidz,1,1
Brooklyn Rider,1,1
Saul Williams,3,6
Dreams West,1,1
Outrun the Sunlight,4,4
Ode,1,1
Steal Shit Do Drugs,10,10
Roomful Of Teeth,1,1
Royal Teeth,5,5
Bowmont,1,1
Kurt Braunohler,1,1
Florence and the Machine,5,10
William Bell,1,1
Garth Trinidad,1,1
"Barsuk 15 featuring Matthew Caws, Jesse Sykes & John Roderick",1,1
Ivan & Alyosha,19,38
The Very Best,5,5
All Them Witches,6,6
Guayaba,5,5
Celine Neon,5,5
Smoosh,4,4
Semi Precious Weapons,7,21
Futurewife,4,4
Field Music,6,12
Vusi Mahlasela,4,4
Frankie Broyles,1,1
Chain Wallet,1,1
The Death of Pop,1,1
Misty Coast,1,1
Pentimento,5,5
Winston Jarrett,5,5
Kay Kay and His Weathered Underground,6,6
Cristina Pato,1,1
Paul Weller,8,32
Matt Wertz,6,6
Kids and Animals,4,4
Those Pretty Wrongs,5,5
The Fresh and Onlys,1,1
Linda Perhacs,1,1
Brendan Perry,2,2
Meat Puppets,6,12
Seattle Rock Orchestra Quintet with Sin Fang,1,1
K'Naan,1,1
Chris Bathgate,1,1
Kweku Collins,5,5
The Slits,1,1
Neulore,5,5
The Palisades,5,5
Lil B,1,1
Iron And Wine,1,1
Northern Faces,6,6
Arctic Monkeys,5,10
Miss May I,1,1
Devendra Banhart,1,1
The Buttertones,1,1
Diane Cluck,1,1
Bleach03,1,1
Jay Nash,6,6
The Felix Culpa,5,5
