artist,score,weighted_score,url
"Tim Kasher (Cursive, The Good Life)",1,1,https://www.youtube.com/watch?v=TGUklljWTDM
The Gloomies,1,1,https://www.youtube.com/watch?v=cw9k6iQ2oG8
Admiral Fallow,5,5,https://www.youtube.com/watch?v=x2SV7hqezow
Handgrenades,6,6,https://www.youtube.com/watch?v=HG-wLYDaA5U
WL,5,5,https://www.youtube.com/watch?v=XBABiVKmLfk
Cold War Kids,3,3,https://www.youtube.com/watch?v=z2RWJJGZW9o
Liza Anne,5,5,https://www.youtube.com/watch?v=m5p9EGinlsM
Death,2,2,https://www.youtube.com/watch?v=Kg1Bthxl95w
Judah & the Lion,5,5,https://www.youtube.com/watch?v=3Yr8raXOYJ0
Polar Bear Club,4,4,https://www.youtube.com/watch?v=trNuly-GYng
HÆLOS,5,5,https://www.youtube.com/watch?v=oERJYbRU9Ts
Cahalen Morrison & Eli West,2,2,https://www.youtube.com/watch?v=AztgAtUmO0E
Niki & the Dove,5,5,https://www.youtube.com/watch?v=2ORFtIgI-Ws
Young Buffalo,12,12,https://www.youtube.com/watch?v=yUsAslUJkM4
Dave Rawlings Machine,10,20,https://www.youtube.com/watch?v=x668-BgXDMM
Kate Tempest,14,28,https://www.youtube.com/watch?v=9iK0iKu5KqQ
Memory Tapes,1,1,https://www.youtube.com/watch?v=R_jfJG7Fzd4
Joshua Bell & Jeremy Denk,1,1,https://www.youtube.com/watch?v=vArST0dVOl4
Buscabulla,4,4,https://www.youtube.com/watch?v=9Tj2puJOi_0
DakhaBrakha,10,20,https://www.youtube.com/watch?v=fTrSsIY7Oww
Lautari,6,6,https://www.youtube.com/watch?v=fEsDWG-6Bs4
French Montana,1,1,https://www.youtube.com/watch?v=4OybzPs4J3g
Solo Woods,5,5,https://www.youtube.com/watch?v=-ntCjlcnsMo
John Densmore,1,1,https://www.youtube.com/watch?v=1lnmCIeXPCI
Janet Feder,1,1,https://www.youtube.com/watch?v=xa0P41jRrUM
The Bamboos,5,5,https://www.youtube.com/watch?v=GtLJJ7gynF0
Brian Courtney Wilson,1,1,https://www.youtube.com/watch?v=LpMlfxA9kco
Nada Surf,25,50,https://www.youtube.com/watch?v=IeglzgJaook
Trevor Sensor,5,5,https://www.youtube.com/watch?v=ScVscyPTIng
Fly Moon Royalty,13,13,https://www.youtube.com/watch?v=smuQosEaN88
Charlie Abbott,1,1,https://www.youtube.com/watch?v=NvH6XcKJtSY
DJAO,5,5,https://www.youtube.com/watch?v=LGbSg9ePhE8
Davíd Garza,1,1,https://www.youtube.com/watch?v=JPcqESmvTTY
Sam Roberts Band,5,5,https://www.youtube.com/watch?v=1VL3BwU7Thk
Dub Thompson,5,5,https://www.youtube.com/watch?v=4RmRR4ky0Gw
Johnny Marr,2,4,https://www.youtube.com/watch?v=rdd_wykKzEY
Rodney Crowell,1,1,https://www.youtube.com/watch?v=KjqQLTCU5fU
Nels Cline & Julian Lage,5,5,https://www.youtube.com/watch?v=b0X0jV5CcQ0
Springtime Carnivore,10,20,https://www.youtube.com/watch?v=pdmUppH5nJM
Holy Ghost Tent Revival,5,5,https://www.youtube.com/watch?v=UgNJ979hDOU
The One and Only PPL MVR,1,1,https://www.youtube.com/watch?v=uSBd2XVYDEQ
Special Explosion,5,5,https://www.youtube.com/watch?v=g0nQr5DEi6c
Comedians of Comedy,1,1,https://www.youtube.com/watch?v=AMRAGZK-Gvs
Dry Heaves,4,4,https://www.youtube.com/watch?v=2T36HWu7V3E
Imperial Teen,8,8,https://www.youtube.com/watch?v=Aw__-T6YCsc
Alvvays,5,5,https://www.youtube.com/watch?v=TguNuNicPc0
Zeta,3,3,https://www.youtube.com/watch?v=FNV_vDr9GGM
Ane Brun,1,1,https://www.youtube.com/watch?v=UaTONcmNotI
Charles Hamelin & Olivier Jean,1,1,https://www.youtube.com/watch?v=Ew_yodxCKqQ
Mono Town,6,6,https://www.youtube.com/watch?v=KorXOnwH5HY
Cut Chemist,1,1,https://www.youtube.com/watch?v=9cZ9WzhZsHU
Brother Ali,6,12,https://www.youtube.com/watch?v=joLNUX22ASI
King Gizzard and the Lizard Wizard,4,8,https://www.youtube.com/watch?v=4W19twyYD2Q
Yaeji,1,1,https://www.youtube.com/watch?v=xHzB8KAuEr8
Budo,1,1,https://www.youtube.com/watch?v=rdq8IsyZRrg
Wildbirds & Peacedrums,1,1,https://www.youtube.com/watch?v=707aiGIlSoY
Shakey Graves,25,75,https://www.youtube.com/watch?v=0q9BTCQuLcw
Michel Gondry,1,1,https://www.youtube.com/watch?v=KNLvR2VcqbY
Sallie Ford,5,5,https://www.youtube.com/watch?v=9emd2luLZHE
The Shivas,15,15,https://www.youtube.com/watch?v=TyNb4RXdRRQ
Minden,4,4,https://www.youtube.com/watch?v=0BkcY6PMDg0
Sir Mix-A-Lot,1,1,https://www.youtube.com/watch?v=ZCjSYHEcd7E
DoNormaal,10,10,https://www.youtube.com/watch?v=vMu-OhRqb4k
Le Butcherettes,1,1,https://www.youtube.com/watch?v=19FnFxiQmKc
Moon Honey,6,6,https://www.youtube.com/watch?v=GJE6lPqj4tM
La Santa Cecilia,7,21,https://www.youtube.com/watch?v=w8UUGS2u9Z0
Cosmonauts,1,1,https://www.youtube.com/watch?v=Q15Q3lOs3Dk
Portugal. The Man,12,24,https://www.youtube.com/watch?v=fe0GAgbT6j0
Zola Jesus,13,39,https://www.youtube.com/watch?v=rRJK62YwoLs
White Buffalo,1,1,https://www.youtube.com/watch?v=PRtgcKtH3A8
ScHoolboy Q,1,1,https://www.youtube.com/watch?v=PZphGmJa3q0
Grant Hart,5,5,https://www.youtube.com/watch?v=oAGXsVsvXl0
Wedding Dress,5,5,https://www.youtube.com/watch?v=M3-0t5K-BJA
Trentemøller,11,11,https://www.youtube.com/watch?v=LS4tnuyDu9I
Akron/Family,1,1,https://www.youtube.com/watch?v=gpPERdpCkuQ
Gypsyblood,1,1,https://www.youtube.com/watch?v=WsICy4HvpZg
Foster the People,1,1,https://www.youtube.com/watch?v=f5PI4gzXXso
The Daredevil Christopher Wright,8,8,https://www.youtube.com/watch?v=kTJlFjXI5Ao
Marius Ziska,8,8,https://www.youtube.com/watch?v=I_jCnQFI9Tc
Trans Am,1,1,https://www.youtube.com/watch?v=8sdgO_b4sW4
Marty Stuart,1,1,https://www.youtube.com/watch?v=_MUa0xMnC5o
The Simpsons-inspired Okilly Dokilly,1,1,https://www.youtube.com/watch?v=TZT-Kj5Syp8
Bess Rogers & Allison Weiss,6,6,https://www.youtube.com/watch?v=kk89fGWmciQ
Paul Kelly,12,24,https://www.youtube.com/watch?v=PqVXlyp9b8k
Mr Twin Sister,2,2,https://www.youtube.com/watch?v=fTml7lge_jQ
Renaud Garcia-Fons,1,1,https://www.youtube.com/watch?v=2ZNKLUHeJtg
Still Parade,2,2,https://www.youtube.com/watch?v=nTpbg8VBQ1Y
Surfer Blood,23,69,https://www.youtube.com/watch?v=nJ6ZJd1AfnY
Anderson East,5,5,https://www.youtube.com/watch?v=gv6glTOv1Ts
Scissor Sisters,1,1,https://www.youtube.com/watch?v=RRL0hT_Yov4
Æla,10,10,https://www.youtube.com/watch?v=5y_ZyJtNHAg
American Wrestlers,10,20,https://www.youtube.com/watch?v=jWD7E849OTI
Palma Violets,11,22,https://www.youtube.com/watch?v=yRcRWi_xWpE
Cumulus,4,4,https://www.youtube.com/watch?v=0iEGYXersmg
Thao & Mirah,4,4,https://www.youtube.com/watch?v=BuAk3wVaVvg
Xeno & Oaklander,4,4,https://www.youtube.com/watch?v=MUWqSz5nnAk
Hanson,4,8,https://www.youtube.com/watch?v=rb4tXqPI7NU
Neil Finn,5,5,https://www.youtube.com/watch?v=XmpxH9NLEp0
Lance Henriksen,1,1,https://www.youtube.com/watch?v=rn1wzTcLbFc
Sky Parade,4,4,https://www.youtube.com/watch?v=rqBSbqh5uVI
HAIM,2,4,https://www.youtube.com/watch?v=FmOEKvcASB4
The Dirty Nil,6,6,https://www.youtube.com/watch?v=Bx1ZbnfM7WM
Cult Of Youth,5,5,https://www.youtube.com/watch?v=JzCCEdsaPMo
Tuatara,5,5,https://www.youtube.com/watch?v=3roVB-L3f8w
Cornelius,1,1,https://www.youtube.com/watch?v=zVKPWtzVoNc
Amadou and Mariam,1,1,https://www.youtube.com/watch?v=hcAKsXR51HQ
２８１４,1,1,https://www.youtube.com/watch?v=aWJB9EMpRlA
Psalm One,6,6,https://www.youtube.com/watch?v=x2YuyIVq3tw
Sunjacket,6,6,https://www.youtube.com/watch?v=VdVYSXSycDo
Loving,1,1,https://www.youtube.com/watch?v=rMcmJf5uZuU
Matthew Sweet,1,1,https://www.youtube.com/watch?v=Yvny3eJmyPo
